,count
Miranda Richardson,22
David Morse,22
Carrie-Anne Moss,22
Seann William Scott,21
Geoffrey Rush,21
Sally Field,21
Catherine Zeta-Jones,21
Laura Dern,21
Queen Latifah,21
Mimi Rogers,21
Tom Hardy,21
James Remar,21
Jet Li,21
PenÃ©lope Cruz,21
Patrick Swayze,21
Bob Hoskins,21
Don Cheadle,21
Faye Dunaway,21
Peter Cushing,21
Dermot Mulroney,21
Zach Galifianakis,21
Vinnie Jones,21
Olivia Wilde,21
Gabriel Byrne,21
Giovanni Ribisi,21
Jonah Hill,21
Ned Beatty,21
Jeff Bennett,21
John Wayne,21
Rhys Ifans,21
Delroy Lindo,21
Laura Linney,21
Emily Blunt,21
Patricia Clarkson,21
Charlotte Rampling,21
Vincent Price,21
Ice Cube,21
Virginia Madsen,21
Michael J. Fox,21
Patrick Wilson,21
Sean Astin,21
Josh Hartnett,21
Paul Walker,21
Jesse Eisenberg,21
Rutger Hauer,20
James Gandolfini,20
Terrence Howard,20
Benicio del Toro,20
Fred Ward,20
Kristen Wiig,20
Michelle Williams,20
Bradley Cooper,20
Jessica Chastain,20
Amanda Seyfried,20
Josh Lucas,20
James Earl Jones,20
Annette Bening,20
Kenneth Branagh,20
Brittany Murphy,20
Shia LaBeouf,20
Peter Sarsgaard,20
GÃ©rard Depardieu,20
Hilary Swank,20
Marcia Gay Harden,20
Amy Smart,20
Rose Byrne,20
Grey Griffin,20
James Coburn,20
Catherine O'Hara,20
Adam Scott,20
Charles Durning,20
Anna Faris,20
Josh Hutcherson,20
Mila Kunis,20
Liv Tyler,19
Kelly Sheridan,19
Dianne Wiest,19
Jim Caviezel,19
Helen Hunt,19
Katie Holmes,19
Kate Bosworth,19
Radha Mitchell,19
Rob Schneider,19
Martin Lawrence,19
Jack Warden,19
Kristin Scott Thomas,19
Katherine Heigl,19
Viola Davis,19
Ray Winstone,19
Emily Mortimer,19
James Cromwell,19
Zoe Saldana,19
Barbara Hershey,19
Lindsay Lohan,19
Kristen Bell,19
Max von Sydow,19
Ian Holm,19
Emily Watson,19
Juno Temple,19
Neal McDonough,19
Burt Reynolds,19
J.K. Simmons,19
Billy Crystal,19
Ryan Phillippe,19
Hank Azaria,19
RenÃ©e Zellweger,18
John Heard,18
Donald Pleasence,18
Christina Applegate,18
Emma Roberts,18
Dylan McDermott,18
Jason Schwartzman,18
Juliette Binoche,18
Peter O'Toole,18
Michael Sheen,18
Melanie Griffith,18
Joel Edgerton,18
Brad Dourif,18
Ron Livingston,18
Jennifer Love Hewitt,18
Luis GuzmÃ¡n,18
Sarah Jessica Parker,18
Alan Rickman,18
Mike Epps,18
Rick Moranis,18
Holly Hunter,18
Jessica Lange,18
Michael Gambon,18
Tilda Swinton,18
Kathleen Turner,18
Claire Danes,18
Steve Guttenberg,18
Famke Janssen,18
Hugh Laurie,18
Anna Kendrick,18
Mark Hamill,18
Kelly Preston,18
Paul Bettany,18
ChloÃ« Grace Moretz,18
James Fox,18
Mike Myers,18
Jason Lee,18
Abigail Breslin,18
Amber Heard,18
Billy Connolly,17
Dom DeLuise,17
Alan Cumming,17
Ellen Barkin,17
Peter Boyle,17
Dominic Purcell,17
Ryan Gosling,17
Richard Harris,17
Ellen Burstyn,17
Charlton Heston,17
Michelle Monaghan,17
Jennifer Garner,17
Steve Coogan,17
Keith David,17
Frank Langella,17
Julia Stiles,17
Michelle Rodriguez,17
Elisabeth Shue,17
Mary-Louise Parker,17
George Kennedy,17
Michael Rooker,17
Tyler Perry,17
Vanessa Redgrave,17
Billy Crudup,17
Anton Yelchin,17
Jeremy Northam,17
Orlando Bloom,17
Jason Isaacs,17
David Strathairn,17
CiarÃ¡n Hinds,17
Matthew Modine,17
Tobey Maguire,17
Michael Ironside,17
William Sadler,17
Michael ParÃ©,17
Emile Hirsch,17
Lena Headey,17
John Candy,17
Jack Lemmon,17
Bruce Campbell,17
Ashley Judd,16
Ashton Kutcher,16
Tom Skerritt,16
Ben Foster,16
Treat Williams,16
Rupert Grint,16
David Arquette,16
Sienna Miller,16
Kevin Zegers,16
David Carradine,16
Oliver Reed,16
Anne Heche,16
Bruce Davison,16
Martin Landau,16
Danny Huston,16
John Rhys-Davies,16
Julie Christie,16
Cam Gigandet,16
Jamie Bell,16
Isabella Rossellini,16
Sam Elliott,16
Rene Russo,16
David Koechner,16
Patrick Warburton,16
Michael Rapaport,16
Chris Cooper,16
Sarah Michelle Gellar,16
Emilio Estevez,16
William Shatner,16
Pete Postlethwaite,16
Anthony Quinn,16
Jonathan Rhys Meyers,16
Albert Finney,16
Charles Dance,16
Daniel Radcliffe,16
Anthony Mackie,16
Robert Pattinson,16
Tom Selleck,16
Stephen McHattie,16
Zac Efron,16
Mandy Moore,16
Cillian Murphy,16
Scott Speedman,16
Kevin Sorbo,16
Jay Baruchel,16
Will Arnett,16
Vera Farmiga,16
Stacy Keach,16
Emma Stone,16
Stephen Lang,16
Ray Wise,16
Colm Meaney,16
Joan Allen,16
Liam Cunningham,16
Thomas Kretschmann,16
Djimon Hounsou,16
Jane Fonda,16
Michael Shannon,16
Chris O'Donnell,16
Bill Hader,16
Michael PeÃ±a,16
Scott Glenn,16
Rip Torn,16
Jennifer Lawrence,16
Minnie Driver,16
Dougray Scott,15
Jeremy Renner,15
Tara Strong,15
Michael Biehn,15
Bruce McGill,15
Charles Grodin,15
Leslie Bibb,15
Anne Bancroft,15
Maggie Gyllenhaal,15
Patricia Arquette,15
Mira Sorvino,15
Alexa PenaVega,15
Anna Paquin,15
Jesse Bradford,15
Gary Cole,15
Anthony LaPaglia,15
Geena Davis,15
Andie MacDowell,15
Hope Davis,15
David Duchovny,15
Jon Lovitz,15
James Spader,15
Lee Marvin,15
Casey Affleck,15
Timothy Hutton,15
Jean Reno,15
Bridget Fonda,15
Benjamin Bratt,15
Dennis Farina,15
David Tennant,15
Chuck Norris,15
Michael Angarano,15
James Garner,15
David Cross,15
Sam Worthington,15
Eddie Marsan,15
Elias Koteas,15
George C. Scott,15
Neve Campbell,15
Kyra Sedgwick,15
Julia Ormond,15
Heath Ledger,15
Thora Birch,15
Elle Fanning,15
Goldie Hawn,15
Kerry Washington,15
Paddy Considine,15
Martin Short,15
Robert Carlyle,15
Jeffrey Tambor,15
HÃ©ctor Elizondo,15
Kevin Pollak,15
Robert Loggia,15
Eric Roberts,15
Will Patton,15
Ellen Page,15
Samantha Morton,15
Robbie Coltrane,15
Rob Lowe,15
Julie Andrews,15
Hugo Weaving,15
Gina Gershon,14
Toby Jones,14
Saoirse Ronan,14
Marlon Brando,14
Giancarlo Esposito,14
Imogen Poots,14
Leslie Mann,14
Jonathan Pryce,14
Denise Richards,14
Julie Delpy,14
Selena Gomez,14
Emma Watson,14
Judy Davis,14
Edward Furlong,14
Logan Lerman,14
Hayden Christensen,14
Jason Alexander,14
Chris Hemsworth,14
Ian McShane,14
Sissy Spacek,14
ChloÃ« Sevigny,14
Vivica A. Fox,14
Thandie Newton,14
Rosamund Pike,14
Eric Bana,14
Chris Klein,14
Herbert Lom,14
Sally Hawkins,14
Roddy McDowall,14
Daniel Stern,14
Burt Lancaster,14
Gena Rowlands,14
Daniel Day-Lewis,14
Michael Clarke Duncan,14
Mia Wasikowska,14
Martin Balsam,14
Peter Coyote,14
Charles Bronson,14
Jason Segel,14
Malin Ã…kerman,14
Adam Brody,14
Kirstie Alley,14
Jeremy Piven,14
Martin Freeman,14
Josh Duhamel,14
Steve McQueen,14
Udo Kier,14
Hayden Panettiere,14
Cloris Leachman,14
Felicity Jones,14
Thomas Haden Church,14
Rebecca Hall,14
Denis Leary,14
Craig T. Nelson,14
David Spade,14
Kristy Swanson,14
Jared Leto,14
Roy Scheider,14
Mary-Kate Olsen,14
Gary Busey,13
Bobby Cannavale,13
Benedict Cumberbatch,13
Allison Janney,13
Ioan Gruffudd,13
Jacqueline Bisset,13
Ben Johnson,13
Morris Chestnut,13
Keri Russell,13
Rufus Sewell,13
Dan Hedaya,13
Andy Serkis,13
Jon Favreau,13
David Ogden Stiers,13
