,count
Guillermo del Toro,7
Andy Fickman,7
Errol Morris,7
Michael Lehmann,7
Adam McKay,7
Nora Ephron,7
Arthur Penn,7
"Arthur Rankin, Jr.",7
Robert Luketic,7
Brad Anderson,7
Jon M. Chu,6
Justin Lin,6
Michael Cimino,6
Peyton Reed,6
Francis Lawrence,6
Tom Hooper,6
Jaume Collet-Serra,6
Nick Park,6
Gregory Hoblit,6
Uli Edel,6
John Whitesell,6
Louis C.K.,6
Nick Cassavetes,6
Joe Berlinger,6
John Irvin,6
Richard Loncraine,6
Jason Reitman,6
Ron Clements,6
Alan Metter,6
Julian Jarrold,6
Gary Trousdale,6
Lucky McKee,6
Isabel Coixet,6
Tim Hill,6
Jeff Kanew,6
Sidney J. Furie,6
Brad Silberling,6
Bille Woodruff,6
Andrew Niccol,6
Agnieszka Holland,6
Keenen Ivory Wayans,6
Robert Iscove,6
Brad Bird,6
D.J. Caruso,6
John Milius,6
Paul Greengrass,6
Jerry Zucker,6
David Twohy,6
Olivier Assayas,6
Christopher Cain,6
Morgan Spurlock,6
Benny Chan,6
McG,6
Jonathan Liebesman,6
Rob Marshall,6
David Frankel,6
Adam Wingard,6
Charles Shyer,6
Nick Love,6
Shannon Hartman,6
Tom McLoughlin,6
Darren Aronofsky,6
Gregg Araki,6
John Musker,6
Todd Solondz,6
Zack Snyder,6
Chris Weitz,6
Michael Winner,6
David Dobkin,6
Nicholas Hytner,6
Danny DeVito,6
Ti West,6
Bille August,6
Nick Lyon,6
Louis Malle,6
Ryan Little,6
Vincenzo Natali,6
Allen Hughes,6
Eduardo SÃ¡nchez,6
Nicolas Roeg,6
Louis Leterrier,6
Tad Stones,6
Robert Aldrich,6
Alex Winter,6
Tibor TakÃ¡cs,6
David Mackenzie,6
Jon Amiel,6
Mark L. Lester,6
Burt Kennedy,6
Simon Wells,6
George Lucas,6
Ron Shelton,6
Roger Kumble,6
Craig Moss,6
Sam Weisman,6
Davis Guggenheim,6
Thomas Carter,6
Jonathan Frakes,6
Sofia Coppola,6
Bernardo Bertolucci,6
Chuck Russell,6
John Ford,6
Ron Underwood,6
George Tillman,6
Eli Roth,6
Alexander Payne,6
Jonathan Kaplan,6
Joe Wright,6
Peter Howitt,6
Steve Barron,6
Mark Rosman,6
Baltasar KormÃ¡kur,6
Nancy Meyers,6
Todd Haynes,6
Christopher Smith,6
James Ivory,6
Kyle Balda,6
John Woo,6
Ben Wheatley,6
Walt Becker,5
Steve Martino,5
Mary Lambert,5
Kevin Lima,5
Matthew Vaughn,5
Tom McCarthy,5
Joss Whedon,5
Jan de Bont,5
Terry Jones,5
Victor Cook,5
Frank Darabont,5
Nigel Cole,5
Mick Jackson,5
Tarsem Singh,5
David Koepp,5
Nicholas Meyer,5
Lewis Teague,5
Paul Feig,5
Jonathan Levine,5
James McTeigue,5
Stanley Kramer,5
Judd Apatow,5
Gavin Hood,5
Brian Helgeland,5
John Erick Dowdle,5
Hugh Wilson,5
Luis Mandoki,5
Rod Daniel,5
Brett Leonard,5
Stan Dragoti,5
Stewart Raffill,5
Peter Markle,5
Nick Willing,5
Norman Tokar,5
Geoffrey Sax,5
Irwin Winkler,5
Scott Hicks,5
Gabriele Muccino,5
Mark Neveldine,5
Jeremiah S. Chechik,5
Steve Purcell,5
Peter Chelsom,5
James Gray,5
Steven R. Monroe,5
Julien Temple,5
John Hough,5
Alfonso CuarÃ³n,5
Scott Derrickson,5
"Declan O""Brien",5
John Flynn,5
George T. Miller,5
George Gallo,5
Tom Vaughan,5
Craig Pryce,5
Andrzej Bartkowiak,5
Hal Ashby,5
Michael Crichton,5
Russ Meyer,5
Mike Thurmeier,5
Rod Lurie,5
Jay Chandrasekhar,5
Charles Martin Smith,5
Marcus Nispel,5
Martin Ritt,5
Paul Haggis,5
John Glen,5
George P. Cosmatos,5
